# Window title
knights                         Knights
tutorial_note_3                 During the tutorial, both sets of controls will be available and you can use whichever you prefer. Controls will be reset back to normal when the tutorial ends.
press_space                     Press SPACE to continue.
quest_complete                  Quest Complete
# Sorry for the long string below... Note that ^ starts a new paragraph (in this message only, not in general)
tutorial_win_message            Congratulations! You have completed your quest.^If you now want to play a proper game of Knights, you have the following options:^* Multiplayer mode. Knights is designed first and foremost as a multiplayer game, and you can play online, on a LAN, or in two-player split screen mode.^* Single Player mode. This is a good way to learn about the different types of quests and so on. Alternatively, if you want a more challenging game, you can add a time limit and try to complete quests against the clock.^That concludes the tutorial. We will now return to the main menu.

# Messages used to describe the movement keys early in the tutorial
# "wasd_keys" and "arrow_keys" are used for common default settings, and
# "movement_keys" is used when the user has customized the controls
wasd_keys                       WASD keys
arrow_keys                      arrow keys
movement_keys                   {0}, {1}, {2} and {3} keys


# Error messages
unknown_error                   Unknown error
access_denied                   Access denied
invalid_connection_string       Invalid connection string
player_id_already_set           Player ID already set
player_id_mismatch              Player ID mismatch
player_id_empty                 Player ID is empty
already_connected               A player with your name/ID is already connected
already_in_game                 You are already connected to a game
game_not_found                  Game not found on server
split_screen_not_allowed        Split screen game not allowed
split_screen_too_many           Cannot join split-screen if other players are already connected
unknown_client_message          Unknown message code from client
unknown_server_message          Unknown message code from server
old_knights_version             You are running an old version of Knights. Please download the latest version from https://www.knightsgame.org.uk/
old_server                      Cannot connect because this server is running an older version of Knights.
update_thread_failed            Update thread failed to start
bad_server_message              Incorrect server message format
invalid_id_server               Invalid ID in server message
invalid_id_client               Invalid ID in client message
dpy_num_out_of_range            Display number out of range
n_players_incorrect             Number of players incorrect
bad_tile_control                Tile 'control' function did not return a control!
couldnt_start_game              Couldn't start game:
couldnt_join_game               Could not join game! {0}
error_is                        Error: {0}
lua_error_is                    Lua Error: {0}
error_in_respawn_func           Error in respawn function: {0}
message_too_long                Message too long
game_hasnt_started              Game hasn't started or could not be found
config_key_not_found            Config key '{0}' not found
could_not_load_font             Could not load font! Check fonts.txt
cxx_error_is                    C++ error: {0}
incompatible_game               This game is running a different version of Knights or using modified game data
connection_lost                 The network connection has been lost
connection_failed               Connection failed
bad_port_number                 Bad port number
failed_create_lobby             Failed to create lobby
failed_join_lobby               Failed to join lobby
lobby_connection_lost           Lobby connection lost


# In-game messages
team_chat_avail         Note: Team chat is available. Type /t at the start of your message to send to your team only.
cant_change_obs         Cannot change observer status at this time. Please wait until the game has finished.
too_many_errors         <Too many error messages, disabling error output for the rest of this game.>
player_eliminated       Player {0} has been eliminated.
player_eliminated_num   Player {0} has been eliminated. {1} players are left.
you_are_eliminated      ** You have been eliminated from this game. You are now in observer mode. Use arrow keys (left/right and up/down) to switch between players.
time_expired            Time limit expired! All players lose!
all_lose                All players lose!
is_winner[one]          {0} is the winner!
is_winner[other]        {0...} are the winners!
game_completed          Game completed in {0}m {1}s.
x_disconnected          {0} (Disconnected)
x_observer              {0} (Observer)
x_ready                 {0} (Ready)
x_eliminated            {0} (Eliminated)
x_team                  {0} (Team)
could_not_generate      Could not generate a "{0}" dungeon for this quest. Using "{1}" instead.

# More in-game messages
lan_game_created                LAN game created.
is_ready                        {0} is ready to start.
is_not_ready                    {0} is no longer ready to start.
game_started                    Game started.
game_started_obs                Game started. You are observing this game.
has_left                        {0} has left the game.
no_longer_observing             {0} is no longer observing this game.
you_have_joined                 You have joined the game.
has_joined                      {0} has joined the game.
you_are_now_observing           You are now observing this game.
is_now_observing                {0} is now observing this game.
use_arrow_keys_to_switch        Use arrow keys (left/right and up/down) to switch between players.
you_have_reconnected            You have reconnected to this game.
has_reconnected                 {0} has reconnected.


# Controls
attack            Attack
drop              Drop
drop_gem          Drop Gem
open_close_chest  Open/Close Chest
open_close_door   Open/Close Door
pick_up           Pick Up
pull_lever        Pull Lever
set_bear_trap     Set Bear Trap
set_blade_trap    Set Spring Blade Trap
set_poison_trap   Set Poison Needle Trap
shoot_crossbow    Shoot Crossbow
suicide_mouse     Suicide (press both mouse buttons)
throw_axe         Throw Axe
throw_daggers     Throw Daggers
use_lock_picks    Use Lock Picks


# Various items and effects
dispel_magic          Dispel Magic
healing               Healing
invisibility          Invisibility
invulnerability       Invulnerability
locked                Locked
paralyzation          Paralyzation
poison                Poison
poison_immunity       Poison Immunity
quickness             Quickness
regeneration          Regeneration
strength              Strength
super                 Super


# Quest Requirements (and related messages)
book_required[one]        Book Required
wand_required[one]        Wand Required
gem_required[one]         Gem Required
gem_required[other]       {0} Gems Required
cannot_secure             This exit cannot be secured.
not_in_special_pentagram  Not in Special Pentagram
escape_via_entry          Escape via your entry point
escape_via_opponent       Escape via your opponent's entry point
escape_via_unknown        Escape via the unknown exit point
escape_via_guarded        Escape via the guarded exit
retrieve_book             Retrieve the book
retrieve_wand             Retrieve the wand
retrieve_gem[one]         Retrieve {0} gem
retrieve_gem[other]       Retrieve {0} gems
place_book                Place the book in the special pentagram
strike_book               Strike the book with the wand
deathmatch_objective      Score points by killing enemy knights
secure_all_entry          Secure all entry points using the Wand of Securing
destroy_all_knights       Destroy all enemy knights
bat_objective[one]        Kill {0} bat
bat_objective[other]      Kill {0} bats
quest_req_separator       --- OR ---


# Critical item respawning
has_been_respawned    {0} has been respawned at a random location.
a_gem                 A gem
a_wand                A wand
the_book              The book


# Quest selection menu
quest_sel             QUEST SELECTION
tutorial_upper        TUTORIAL
quest                 Quest
mission_type          Mission Type
type_of_book          Type of Book
type_of_wand          Type of Wand
num_of_wands          Number of Wands
num_of_gems           Number of Gems
gems_needed           Gems Needed
dungeon_type          Dungeon Type
premapped             Premapped
entry_point           Entry Point
exit_point            Exit Point
starting_gear         Starting Gear
num_of_keys           Number of Keys
pretrapped_chests     Pretrapped Chests
amount_of_stuff       Amount of Stuff
stuff_respawning      Stuff Respawning
zombie_activity       Zombie Activity
vampire_bats          Vampire Bats
time_limit            Time Limit
mins                  mins

custom                      Custom
quest_for_gems              Quest for Gems
big_quest_for_gems          The Big Quest for Gems
shock_assault               Shock Assault
war_of_survival             War of Survival
dungeon_of_death            The Dungeon of Death
lost_book_of_gnome          The Lost Book of the Gnome King
tomb_of_liche               The Tomb of the Liche Lord
ancient_wand_of_death       The Ancient Wand of Death
way_to_paradise             The Way to the Paradise
quest_of_giants             The Quest of Giants
run_for_freedom             Run for the Freedom
knights_deathmatch          Knights Deathmatch

escape_from_dungeon   Escape from the Dungeon
retrieve_book_escape  Retrieve Book and Escape
retrieve_wand_escape  Retrieve Wand and Escape
destroy_book_wand     Destroy Book with Wand
duel_to_death         Duel to the Death
deathmatch            Deathmatch

book_none             No Book in the Dungeon
book_knowledge        Ancient Book of Knowledge
book_ashur            Lost Book of Ashur
book_necronomicon     Necronomicon
book_gnomes           Tome of Gnomes

wand_none             No Wands in the Dungeon
wand_destruction      Wand of Destruction
wand_open_ways        Wand of Open Ways
wand_securing         Wand of Securing
wand_undeath          Wand of Undeath

tiny                  Tiny
small                 Small
basic                 Basic
big                   Big
huge                  Huge
snake                 Snake
long_snake            Long Snake
ring                  Ring

yes                   Yes
no                    No

total_random          Total Random
close_to_other        Close to Other
away_from_other       Away from Other
different_every_time  Different every time

no_escape             No Escape
same_as_entry         Same as Entry
others_entry          Other's Entry
guarded               Guarded

sword_only            Sword Only
daggers               Daggers
traps                 Traps
daggers_and_traps     Daggers and Traps

none                  None
slow                  Slow
medium                Medium
fast                  Fast

err_requires_at_least    ERROR: {0} = {1} requires at least {2} {3}.
players_lowercase        players
teams_lowercase          teams

player_set_menu       {0} set "{1}" to "{2}".
player_set_random     {0} selected a Random Quest.


# Quest descriptions
desc_exit_same                  your entry point
desc_exit_other                 your opponent's entry point
desc_exit_random                an unknown exit point
desc_exit_guarded               the guarded exit

desc_ashur                      The Lost Book of Ashur is somewhere in the dungeon.
desc_gnomes                     The Tome of Gnomes is hidden behind unknown traps and riddles.
desc_knowledge                  The Book of Knowledge reveals knowledge of the dungeon, but also gives away your position to your opponents.
desc_necronomicon               The Necronomicon is sealed behind locked doors. It has powers to raise the undead.

desc_destruction                The Wand of Destruction terminates targets.
desc_open_ways                  The Wand of Open Ways may be used to open any item.
desc_securing                   The Wand of Securing is used to secure entry points, preventing your opponents from respawning there.
desc_undeath                    The Wand of Undeath controls and slays the undead.

desc_duel_to_death              You must secure all entry points to prevent your opponents entering the dungeon, and then destroy all enemy knights.
desc_destroy_book               You must strike the book with the wand in the special pentagram.
desc_destroy_book_gems          You must strike the book with the wand in the special pentagram with {0} out of {1} gems.
desc_escape                     Your mission is to escape via {0}.
desc_escape_gems                Your mission is to escape via {0} with {1} out of {2} gems.
desc_retrieve                   You must retrieve the {0} and escape via {1}.
desc_retrieve_gems              You must retrieve the {0} and escape via {1} with {2} out of {3} gems.

desc_book                       book
desc_wand                       wand

desc_game_last_for[one]         The game will last for {0} minute.
desc_game_last_for[other]       The game will last for {0} minutes.
desc_complete_within[one]       You must complete this quest within {0} minute.
desc_complete_within[other]     You must complete this quest within {0} minutes.

desc_custom_quest               Custom Quest

desc_quest_for_gems_1           Deep within the dungeon are hidden four gems.
desc_quest_for_gems_2           You must recover at least three of them and then return to your entry point.
desc_big_quest_for_gems_1       Deep within the vast dungeon are hidden six gems.
desc_big_quest_for_gems_2       You must recover at least four of them before returning to your entry point.
desc_shock_assault_1            You must make a shock assault on the entry point of the other knight. If you succeed before your enemy you are the winner.
desc_shock_assault_2            This quest is for 2 players only.
desc_war_of_survival            You must secure all entry points with the wand so that your opponents cannot use them, and then kill all enemy knights.
desc_dungeon_of_death           Out of the vampire bat infested dungeon you must find an exit which is behind locked doors and a swarm of bats.
desc_lost_book_of_gnome_1       The ancient Gnome King left his book of wisdom within this dungeon.
desc_lost_book_of_gnome_2       You must find it and carry it back to your entry point.
desc_tomb_of_liche              The Liche Lord is gone but his spell book is still in our universe. You must recover it from the Liche Lord's study.
desc_ancient_wand_of_death_1    The Wand of Destruction is hidden in this dungeon.
desc_ancient_wand_of_death_2    You must recover it and escape via {0}.
desc_way_to_paradise_1          Legend has it that any hero who strikes the Book of Knowledge with the Wand of Open Ways in the Special Pentagram will be granted immortality.
desc_way_to_paradise_2          Your objective is to attain that status.
desc_quest_of_giants_1          You are put on the huge quest.
desc_quest_of_giants_2          You must retrieve the book and four out of six gems and escape via {0}.
desc_run_for_freedom_1          You are trapped in the dungeon of vampire bats.
desc_run_for_freedom_2          You must run to the exit point and get out before your opponents.
desc_deathmatch_1               Deathmatch
desc_deathmatch_2               Players get 1 point for killing an enemy knight, and -1 for a suicide. (Being killed by a monster doesn't affect your score.) The player with the highest score when time runs out is the winner.

# In-game "pause mode" (ESC menu)
game_paused_caps                GAME PAUSED
esc                             ESC
return_to_game                  Return to game
quit_disconnect                 Quit (disconnect)
restart                         Restart quest
vote_to_restart                 Vote to restart quest

# Other UI strings
raw_msg                         {0}
connecting_to_game              Connecting to game...
host_migration_in_progress      Host migration in progress...
connection_lost_reconnecting    Connection lost. Attempting to reconnect...
x_is_now_leader                 Host migration complete. {0} is now hosting this game.
you_are_now_leader              Host migration complete. You are now hosting this game.
vote                            Vote
cancel_vote                     Cancel Vote
x_voted_to_restart              {0} voted to restart.
x_cancelled_vote                {0} no longer wants to restart.
game_restarted                  Game restarted.
x_wants_to_restart              {0} wants to restart
xy_want_to_restart              {0} and {1} want to restart
xyz_want_to_restart[one]        {0}, {1} and {2} other want to restart
xyz_want_to_restart[other]      {0}, {1} and {2} others want to restart
more_vote_required[one]         ({0} more vote needed)
more_vote_required[other]       ({0} more votes needed)
